,dimension,birth,death
0,1,0.3082936762640199,0.5221663684106191
1,0,0.0,inf
2,0,0.0,0.2790656458042644
3,0,0.0,0.2592667903837276
4,0,0.0,0.23802474674965346
5,0,0.0,0.2272021087956605
6,0,0.0,0.18454868831772778
7,0,0.0,0.16806735065857484
8,0,0.0,0.1581503399934845
9,0,0.0,0.15679978550334403
10,0,0.0,0.14843268004550772
11,0,0.0,0.12943649405083527
12,0,0.0,0.1252442719392815
13,0,0.0,0.1244337749262527
14,0,0.0,0.11972908260517084
15,0,0.0,0.1094541409253521
16,0,0.0,0.1038693279652276
17,0,0.0,0.10272419341843547
18,0,0.0,0.09482570689700298
19,0,0.0,0.09434965097058289
20,0,0.0,0.08548610457464692
21,0,0.0,0.08195542105144352
22,0,0.0,0.07794341432403172
23,0,0.0,0.06852286211083398
24,0,0.0,0.06780393115430194
25,0,0.0,0.0655840673761934
26,0,0.0,0.06459413482295645
27,0,0.0,0.047004377640406866
28,0,0.0,0.009669492814013464
