time,type,rv
0,Planet,0
0.2505,Planet,0.3324155401852789
0.501,Planet,0.6140238174353146
0.7515,Planet,0.801783084126008
1.002,Planet,0.866995721530011
1.2525000000000002,Planet,0.799694459123692
1.503,Planet,0.6101657983535413
1.7535000000000003,Planet,0.3273777967783182
2.004,Planet,-0.00544748581813955
2.2545,Planet,-0.3374401603958996
2.5050000000000003,Planet,-0.6178575959081533
2.7555,Planet,-0.8038400561050353
3.006,Planet,-0.8669614940234595
3.2565000000000004,Planet,-0.7975742635534262
3.5070000000000006,Planet,-0.6062836909708191
3.7575,Planet,-0.32232712905650196
4.008,Planet,0.01089475657886659
4.258500000000001,Planet,0.34245145904677804
4.509,Planet,0.621666982421047
4.7595,Planet,0.8058652938550419
5.010000000000001,Planet,0.8668930403615998
5.2605,Planet,0.7954225811169012
5.511,Planet,0.6023776485461025
5.761500000000001,Planet,0.3172637364115417
6.012,Planet,-0.01634159723325755
6.2625,Planet,-0.3474492383004226
6.513000000000001,Planet,-0.6254518265859387
6.7635000000000005,Planet,-0.80785871742311
7.014000000000001,Planet,-0.8667903632468652
7.2645,Planet,-0.7932394967588554
7.515,Planet,-0.598447825283257
7.7655,Planet,-0.3121878187375118
8.016,Planet,0.021787792749373355
8.2665,Planet,0.3524333008530697
8.517000000000001,Planet,0.629211978983663
8.7675,Planet,0.8098202481122895
9.018,Planet,0.8666534667327724
9.2685,Planet,0.7910250966637211
9.519,Planet,0.5944943763249763
9.7695,Planet,0.30709957642294927
10.020000000000001,Planet,-0.02723312812073808
10.2705,Planet,-0.3574034499424601
10.521,Planet,-0.6329472911698382
10.7715,Planet,-0.8117498084847072
11.022,Planet,-0.8664823562237615
11.2725,Planet,-0.7887794682522219
11.523000000000001,Planet,-0.5905174577466532
11.7735,Planet,-0.30199921034294686
12.024,Planet,0.03267738837483058
12.2745,Planet,0.3623594893556195
12.525,Planet,0.6366576156807385
12.775500000000001,Planet,0.8136473223646261
13.026000000000002,Planet,0.8662770384749823
13.2765,Planet,0.7865027001779233
13.527000000000001,Planet,0.5865172265502285
13.777500000000002,Planet,0.296886921851227
14.028000000000002,Planet,-0.03812035858159191
14.2785,Planet,-0.36730122343659805
14.529,Planet,-0.6403428060391042
14.7795,Planet,-0.8155127148414442
15.03,Planet,-0.866037521592028
15.2805,Planet,-0.7841948823237302
15.531,Planet,-0.5824938406579779
15.781500000000001,Planet,-0.29176291277218436
16.032,Planet,0.04356182386185972
16.282500000000002,Planet,0.37222845709419844
16.533,Planet,0.644002716759932
16.7835,Planet,0.8173459122726617
17.034000000000002,Planet,0.8657638150306148
17.284499999999998,Planet,0.781856105798341
17.535,Planet,0.5784474589062875
17.7855,Planet,0.2866273853929265
18.036,Planet,-0.04900156939591741
18.2865,Planet,-0.3771409958096645
18.537,Planet,-0.6476372033562073
18.7875,Planet,-0.8191468422867831
19.038,Planet,-0.8654559295962098
19.288500000000003,Planet,-0.7794864629326429
19.539,Planet,-0.5743782410393798
19.7895,Planet,-0.28148054245527215
20.040000000000003,Planet,0.0544393804319164
20.2905,Planet,0.3820386456443903
20.541,Planet,0.6512461223446308
20.7915,Planet,0.8209154337861742
21.042,Planet,0.8651138774436019
21.2925,Planet,0.7770860472760855
21.543,Planet,0.5702863477030116
21.7935,Planet,0.27632258714777647
22.044,Planet,-0.059875042294391084
22.2945,Planet,-0.3869212132475355
22.545,Planet,-0.654829331251254
22.7955,Planet,-0.8226516169498747
23.046000000000003,Planet,-0.8647376720764244
23.2965,Planet,-0.7746549535929661
23.547,Planet,-0.5661719404381156
23.7975,Planet,-0.27115372309768027
24.048,Planet,0.06530834039271234
24.2985,Planet,0.3917885058636996
24.549,Planet,0.6583866886171267
24.799500000000002,Planet,0.8243553232363411
0,Spot,0
0.2505,Spot,0
0.501,Spot,0
0.7515,Spot,0
1.002,Spot,0
1.2525000000000002,Spot,0
1.503,Spot,0
1.7535000000000003,Spot,0
2.004,Spot,0
2.2545,Spot,0
2.5050000000000003,Spot,0
2.7555,Spot,0
3.006,Spot,0
3.2565000000000004,Spot,0
3.5070000000000006,Spot,0
3.7575,Spot,0
4.008,Spot,0
4.258500000000001,Spot,0
4.509,Spot,0
4.7595,Spot,0
5.010000000000001,Spot,0
5.2605,Spot,0
5.511,Spot,0
5.761500000000001,Spot,0
6.012,Spot,0
6.2625,Spot,0.007
6.513000000000001,Spot,0.023
6.7635000000000005,Spot,0.059
7.014000000000001,Spot,0.101
7.2645,Spot,0.13799999999999998
7.515,Spot,0.19799999999999998
7.7655,Spot,0.241
8.016,Spot,0.33
8.2665,Spot,0.339
8.517000000000001,Spot,0.381
8.7675,Spot,0.44499999999999995
9.018,Spot,0.482
9.2685,Spot,0.514
9.519,Spot,0.54
9.7695,Spot,0.5479999999999999
10.020000000000001,Spot,0.562
10.2705,Spot,0.578
10.521,Spot,0.535
10.7715,Spot,0.553
11.022,Spot,0.49200000000000005
11.2725,Spot,0.45899999999999996
11.523000000000001,Spot,0.41800000000000004
11.7735,Spot,0.379
12.024,Spot,0.31
12.2745,Spot,0.24600000000000002
12.525,Spot,0.183
12.775500000000001,Spot,0.115
13.026000000000002,Spot,0.048
13.2765,Spot,-0.017
13.527000000000001,Spot,-0.077
13.777500000000002,Spot,-0.133
14.028000000000002,Spot,-0.183
14.2785,Spot,-0.24000000000000002
14.529,Spot,-0.25999999999999995
14.7795,Spot,-0.305
15.03,Spot,-0.317
15.2805,Spot,-0.325
15.531,Spot,-0.33399999999999996
15.781500000000001,Spot,-0.32899999999999996
16.032,Spot,-0.317
16.282500000000002,Spot,-0.3
16.533,Spot,-0.262
16.7835,Spot,-0.237
17.034000000000002,Spot,-0.23399999999999999
17.284499999999998,Spot,-0.17300000000000001
17.535,Spot,-0.14400000000000002
17.7855,Spot,-0.101
18.036,Spot,-0.074
18.2865,Spot,-0.043000000000000003
18.537,Spot,-0.017
18.7875,Spot,-0.005
19.038,Spot,0
19.288500000000003,Spot,0
19.539,Spot,0
19.7895,Spot,0
20.040000000000003,Spot,0
20.2905,Spot,0
20.541,Spot,0
20.7915,Spot,0
21.042,Spot,0
21.2925,Spot,0
21.543,Spot,0
21.7935,Spot,0
